,name,NumberOfDistinctIps,NumOfDistCountries,NumberOfDomainsThatShareIP,ReverseDNSQueryARecrods,ReverseDNSQueryNSrecords,ReverseDNSErrors,Blacklisted
106,bitporno.com,2,1,0,1.0,0.0,1.0,False
107,bombich.com,1,1,0,0.0,0.0,1.0,False
108,bikerumor.com,6,3,0,1.0,0.0,1.0,False
109,brivium.com,6,1,0,0.0,0.0,1.0,False
110,blogmura.com,6,1,0,1.0,0.0,1.0,False
111,bb.com.br,1,1,0,2.0,0.0,1.0,False
112,boredart.com,1,1,0,1.0,0.0,1.0,False
113,bnc.lt,398,1,0,0.9807692307692307,0.0,1.0,False
114,bonobos.com,12,1,0,1.0,0.0,1.0,False
115,billingsgazette.com,2,1,0,1.0,0.0,1.0,False
116,blizzard.com,1,1,0,0.0,0.0,1.0,False
117,bristol.ac.uk,1,1,0,1.0,0.0,1.0,False
118,bootstraplugin.com,8,1,0,0.0,0.0,1.0,False
119,bytebucket.org,6,1,0,0.5,0.6666666666666666,0.0,False
120,bankmellat.ir,2,1,0,0.0,0.0,1.0,False
121,bakabt.me,8,1,0,0.0,0.0,1.0,False
122,blenderartists.org,8,1,0,0.0,0.0,1.0,False
123,blackunicorn.xyz,2,1,0,1.0,0.0,1.0,False
124,blingee.com,2,1,0,1.0,0.0,1.0,False
125,bookriot.com,1,1,0,1.0,0.0,1.0,False
126,bringatrailer.com,1,1,0,0.0,0.0,1.0,False
127,blockchain.info,5,1,0,0.0,0.0,1.0,False
128,buff.ly,2,1,0,1.0,0.0,1.0,False
129,biblescan.com,1,1,0,0.0,0.0,1.0,False
130,badoo.com,1,1,0,1.0,0.0,1.0,False
131,bigthink.com,4,1,0,0.0,0.0,1.0,False
132,brickset.com,6,1,0,0.0,0.0,1.0,False
133,bibliaparalela.com,1,1,0,0.0,0.0,1.0,False
134,biblemenus.com,1,1,0,0.0,0.0,1.0,False
135,bstatic.com,1,1,0,1.0,4.0,0.0,False
136,bcwserver.com,1,1,0,1.0,0.0,1.0,False
137,blowjobgif.net,4,1,0,0.0,0.0,1.0,False
138,countingdownto.com,3,1,0,0.0,0.0,1.0,False
139,cdbaby.com,1,1,0,0.0,0.0,1.0,False
140,cronometer.com,10,1,0,1.0,0.0,1.0,False
141,cfa.com.ua,1,1,0,1.0,2.0,0.0,True
142,caracol.com.co,2,1,0,0.0,0.0,1.0,False
143,capitalone.com,2,1,0,0.0,0.0,1.0,False
144,clinicaltrials.gov,4,1,0,0.5,0.0,1.0,False
145,camelcamelcamel.com,6,1,0,0.0,0.0,1.0,False
146,consortiumnews.com,1,1,0,1.0,0.0,1.0,False
147,catawiki.com,6,3,0,1.0,0.0,1.0,False
148,culturacolectiva.com,4,1,0,0.0,0.0,1.0,False
149,cardiogr.am,6,1,0,0.0,0.0,1.0,False
150,conversionsbox.com,1,1,0,0.0,0.0,1.0,False
151,caniuse.com,1,1,0,1.0,2.0,0.0,False
152,cbc.ca,5,2,0,0.8,0.0,1.0,False
153,car2go.com,2,1,0,1.0,0.0,1.0,False
154,carbonite.com,1,1,0,0.0,0.0,1.0,False
155,chopra.com,8,1,0,1.0,0.0,1.0,False
156,celebmafia.com,8,1,0,0.0,0.0,1.0,False
157,comcast.net,1,1,0,1.0,0.0,1.0,False
158,canoe.com,2,2,0,1.0,0.0,1.0,False
159,cmpassport.com,1,1,0,0.0,0.0,1.0,False
160,centurylink.com,3,1,0,0.0,0.0,1.0,False
161,cell.com,1,1,0,2.0,0.0,1.0,False
162,creativecommons.org,6,1,0,0.0,0.0,1.0,False
163,curiouscat.me,6,1,0,0.0,0.0,1.0,False
164,classicwords.net,80,1,0,0.0,0.0,1.0,False
165,cam4.com,2,1,0,0.0,0.0,1.0,False
166,coinmedia.co,8,1,0,0.0,0.0,1.0,False
167,clarin.com,4,1,0,0.0,0.0,1.0,False
168,canada.ca,4,1,0,1.0,0.5,0.75,False
169,cookpad.com,8,2,0,0.0,0.0,1.0,False
170,commbank.com.au,48,1,0,1.0,0.0,1.0,False
171,coolcreativity.com,6,1,0,0.0,0.0,1.0,False
172,cointraffic.io,1,1,0,0.0,0.0,1.0,False
173,calciomercato.com,4,1,0,1.0,0.0,1.0,False
174,coursera.org,12,1,0,0.9166666666666666,0.0,1.0,False
175,carbonmade.com,154,1,0,1.0,0.0,1.0,False
176,crazyshit.com,4,1,0,0.0,0.0,1.0,False
177,comicbook.com,4,1,0,0.0,0.0,1.0,False
178,codecanyon.net,2,1,0,0.0,0.0,1.0,False
179,callofduty.com,6,3,0,1.0,0.0,1.0,False
180,cookie-bar.eu,8,1,0,0.0,0.0,1.0,False
181,crwflags.com,1,1,0,0.0,0.0,1.0,False
182,cupofjo.com,1,1,0,1.0,0.0,1.0,False
183,clickiocdn.com,2,1,0,0.0,0.0,1.0,False
184,cloudconvert.com,260,1,0,1.0,0.0,1.0,False
185,cloud-links.net,1,1,0,1.0,0.0,1.0,False
186,ciuvo.com,3,1,0,1.0,0.0,1.0,False
187,cnbc.com,2,1,0,0.0,0.0,1.0,False
188,carto.com,1,1,0,1.0,0.0,1.0,False
189,cryptowat.ch,4,1,0,0.0,0.0,1.0,False
190,csstatic.com,3,1,0,0.0,0.0,1.0,False
191,coord.info,1,1,0,1.0,7.0,0.0,False
192,comodo.com,1,1,0,0.0,0.0,1.0,False
193,cams.com,1,1,0,0.0,0.0,1.0,False
194,creativeapis.com,4,1,0,1.0,0.0,1.0,False
195,carbuzz.com,2,1,0,1.0,0.0,1.0,False
196,crystalidea.com,2,1,0,1.0,2.5,0.5,False
197,cookiesandyou.com,44,1,0,1.0,0.0,1.0,False
198,cheezburger.com,1,1,0,1.0,0.0,1.0,False
199,calendly.com,4,1,0,0.0,0.0,1.0,False
200,createjs.com,1,1,0,0.0,0.0,1.0,False
201,cex.io,2,1,0,0.0,0.0,1.0,False
202,duckduckgo.com,2,2,0,0.0,0.0,1.0,False
203,disney.com,1,1,0,1.0,0.0,1.0,False
204,didyouknowfacts.com,1,1,0,1.0,0.0,1.0,False
205,depositfiles.com,10,1,0,0.0,0.0,1.0,False
206,depositphotos.com,1,1,0,1.0,3.0,0.0,False
207,delltechnologies.com,2,1,0,0.0,0.0,1.0,False
208,dhgate.com,1,1,0,0.0,0.0,1.0,False
209,dayone.me,2,1,0,1.0,0.0,1.0,False
210,dmoz.org,5,4,0,1.0,0.0,1.0,False
211,dansmovies.com,1,1,0,0.0,0.0,1.0,False
212,dailypakistan.com.pk,1,1,0,1.0,0.0,1.0,False
213,deathsnacks.com,6,1,0,0.0,0.0,1.0,False
214,dragonbyte-tech.com,1,1,0,1.0,0.0,1.0,False
215,directvnow.com,4,1,0,0.0,0.0,1.0,False
216,dezeen.com,2,2,0,1.0,0.0,1.0,False
217,d3js.org,6,1,0,0.0,0.0,1.0,False
218,dreammovies.com,8,1,0,0.0,0.0,1.0,False
219,dontwastethecrumbs.com,3,1,0,0.0,0.0,1.0,False
220,dyncdn.me,1,1,0,0.0,0.0,1.0,False
221,dropbox.com,3,1,0,0.0,0.0,1.0,False
222,digibites.nl,1,1,0,1.0,0.0,1.0,False
223,doubleclick.net,26,2,0,0.5,0.0,1.0,False
224,damplips.com,4,1,0,0.0,0.0,1.0,False
225,dailymotion.com,1,1,0,1.0,0.0,1.0,False
226,dell.com,2,1,0,1.0,0.0,1.0,False
227,dplzmdnp.ws,1,1,0,1.0,0.0,1.0,True
228,diep.io,6,1,0,0.0,0.0,1.0,False
229,dressupwho.com,2,1,0,0.0,0.0,1.0,False
230,dvdtalk.com,6,1,0,0.0,0.0,1.0,False
231,droplr.com,1,1,0,1.0,0.0,1.0,False
232,disqusads.com,4,1,0,0.0,0.0,1.0,False
233,dragcave.net,3,1,0,1.0,0.0,1.0,False
234,duckdns.org,2,1,0,1.0,0.0,1.0,False
235,depic.me,8,1,0,0.0,0.0,1.0,False
